date,average,ticker,industry
1962-01,0.044,KO,Consumer Staples
1962-02,0.043,KO,Consumer Staples
1962-03,0.044,KO,Consumer Staples
1962-04,0.044,KO,Consumer Staples
1962-05,0.041,KO,Consumer Staples
1962-06,0.037,KO,Consumer Staples
1962-07,0.038,KO,Consumer Staples
1962-08,0.04,KO,Consumer Staples
1962-09,0.039,KO,Consumer Staples
1962-10,0.037,KO,Consumer Staples
1962-11,0.038,KO,Consumer Staples
1962-12,0.041,KO,Consumer Staples
1963-01,0.042,KO,Consumer Staples
1963-02,0.044,KO,Consumer Staples
1963-03,0.045,KO,Consumer Staples
1963-04,0.045,KO,Consumer Staples
1963-05,0.045,KO,Consumer Staples
1963-06,0.045,KO,Consumer Staples
1963-07,0.046,KO,Consumer Staples
1963-08,0.048,KO,Consumer Staples
1963-09,0.05,KO,Consumer Staples
1963-10,0.051,KO,Consumer Staples
1963-11,0.051,KO,Consumer Staples
1963-12,0.054,KO,Consumer Staples
1964-01,0.056,KO,Consumer Staples
1964-02,0.058,KO,Consumer Staples
1964-03,0.061,KO,Consumer Staples
1964-04,0.063,KO,Consumer Staples
1964-05,0.063,KO,Consumer Staples
1964-06,0.064,KO,Consumer Staples
1964-07,0.067,KO,Consumer Staples
1964-08,0.068,KO,Consumer Staples
1964-09,0.067,KO,Consumer Staples
1964-10,0.066,KO,Consumer Staples
1964-11,0.067,KO,Consumer Staples
1964-12,0.069,KO,Consumer Staples
1965-01,0.072,KO,Consumer Staples
1965-02,0.075,KO,Consumer Staples
1965-03,0.076,KO,Consumer Staples
1965-04,0.078,KO,Consumer Staples
1965-05,0.083,KO,Consumer Staples
1965-06,0.079,KO,Consumer Staples
1965-07,0.077,KO,Consumer Staples
1965-08,0.078,KO,Consumer Staples
1965-09,0.079,KO,Consumer Staples
1965-10,0.079,KO,Consumer Staples
1965-11,0.081,KO,Consumer Staples
1965-12,0.086,KO,Consumer Staples
1966-01,0.088,KO,Consumer Staples
1966-02,0.086,KO,Consumer Staples
1966-03,0.081,KO,Consumer Staples
1966-04,0.084,KO,Consumer Staples
1966-05,0.08,KO,Consumer Staples
1966-06,0.079,KO,Consumer Staples
1966-07,0.08,KO,Consumer Staples
1966-08,0.08,KO,Consumer Staples
1966-09,0.078,KO,Consumer Staples
1966-10,0.081,KO,Consumer Staples
1966-11,0.088,KO,Consumer Staples
1966-12,0.093,KO,Consumer Staples
1967-01,0.097,KO,Consumer Staples
1967-02,0.101,KO,Consumer Staples
1967-03,0.104,KO,Consumer Staples
1967-04,0.116,KO,Consumer Staples
1967-05,0.121,KO,Consumer Staples
1967-06,0.127,KO,Consumer Staples
1967-07,0.131,KO,Consumer Staples
1967-08,0.13,KO,Consumer Staples
1967-09,0.128,KO,Consumer Staples
1967-10,0.129,KO,Consumer Staples
1967-11,0.135,KO,Consumer Staples
1967-12,0.144,KO,Consumer Staples
1968-01,0.136,KO,Consumer Staples
1968-02,0.136,KO,Consumer Staples
1968-03,0.141,KO,Consumer Staples
1968-04,0.151,KO,Consumer Staples
1968-05,0.162,KO,Consumer Staples
1968-06,0.166,KO,Consumer Staples
1968-07,0.16,KO,Consumer Staples
1968-08,0.154,KO,Consumer Staples
1968-09,0.159,KO,Consumer Staples
1968-10,0.156,KO,Consumer Staples
1968-11,0.155,KO,Consumer Staples
1968-12,0.16,KO,Consumer Staples
1969-01,0.158,KO,Consumer Staples
1969-02,0.15,KO,Consumer Staples
1969-03,0.15,KO,Consumer Staples
1969-04,0.153,KO,Consumer Staples
1969-05,0.161,KO,Consumer Staples
1969-06,0.156,KO,Consumer Staples
1969-07,0.151,KO,Consumer Staples
1969-08,0.156,KO,Consumer Staples
1969-09,0.165,KO,Consumer Staples
1969-10,0.174,KO,Consumer Staples
1969-11,0.182,KO,Consumer Staples
1969-12,0.179,KO,Consumer Staples
1970-01,0.184,KO,Consumer Staples
1970-02,0.18,KO,Consumer Staples
1970-03,0.179,KO,Consumer Staples
1970-04,0.169,KO,Consumer Staples
1970-05,0.153,KO,Consumer Staples
1970-06,0.16,KO,Consumer Staples
1970-07,0.159,KO,Consumer Staples
1970-08,0.155,KO,Consumer Staples
1970-09,0.162,KO,Consumer Staples
1970-10,0.174,KO,Consumer Staples
1970-11,0.181,KO,Consumer Staples
1970-12,0.19,KO,Consumer Staples
1971-01,0.191,KO,Consumer Staples
1971-02,0.194,KO,Consumer Staples
1971-03,0.207,KO,Consumer Staples
1971-04,0.22,KO,Consumer Staples
1971-05,0.224,KO,Consumer Staples
1971-06,0.231,KO,Consumer Staples
1971-07,0.23,KO,Consumer Staples
1971-08,0.234,KO,Consumer Staples
1971-09,0.244,KO,Consumer Staples
1971-10,0.248,KO,Consumer Staples
1971-11,0.246,KO,Consumer Staples
1971-12,0.265,KO,Consumer Staples
1972-01,0.267,KO,Consumer Staples
1972-02,0.283,KO,Consumer Staples
1972-03,0.291,KO,Consumer Staples
1972-04,0.294,KO,Consumer Staples
1972-05,0.295,KO,Consumer Staples
1972-06,0.3,KO,Consumer Staples
1972-07,0.315,KO,Consumer Staples
1972-08,0.329,KO,Consumer Staples
1972-09,0.314,KO,Consumer Staples
1972-10,0.32,KO,Consumer Staples
1972-11,0.328,KO,Consumer Staples
1972-12,0.338,KO,Consumer Staples
1973-01,0.337,KO,Consumer Staples
1973-02,0.331,KO,Consumer Staples
1973-03,0.333,KO,Consumer Staples
1973-04,0.325,KO,Consumer Staples
1973-05,0.315,KO,Consumer Staples
1973-06,0.328,KO,Consumer Staples
1973-07,0.33,KO,Consumer Staples
1973-08,0.33,KO,Consumer Staples
1973-09,0.334,KO,Consumer Staples
1973-10,0.332,KO,Consumer Staples
1973-11,0.321,KO,Consumer Staples
1973-12,0.287,KO,Consumer Staples
1974-01,0.281,KO,Consumer Staples
1974-02,0.264,KO,Consumer Staples
1974-03,0.27,KO,Consumer Staples
1974-04,0.255,KO,Consumer Staples
1974-05,0.243,KO,Consumer Staples
1974-06,0.266,KO,Consumer Staples
1974-07,0.23,KO,Consumer Staples
1974-08,0.185,KO,Consumer Staples
1974-09,0.154,KO,Consumer Staples
1974-10,0.134,KO,Consumer Staples
1974-11,0.134,KO,Consumer Staples
1974-12,0.12,KO,Consumer Staples
1975-01,0.143,KO,Consumer Staples
1975-02,0.174,KO,Consumer Staples
1975-03,0.187,KO,Consumer Staples
1975-04,0.188,KO,Consumer Staples
1975-05,0.215,KO,Consumer Staples
1975-06,0.219,KO,Consumer Staples
1975-07,0.21,KO,Consumer Staples
1975-08,0.186,KO,Consumer Staples
1975-09,0.177,KO,Consumer Staples
1975-10,0.195,KO,Consumer Staples
1975-11,0.212,KO,Consumer Staples
1975-12,0.206,KO,Consumer Staples
1976-01,0.221,KO,Consumer Staples
1976-02,0.218,KO,Consumer Staples
1976-03,0.215,KO,Consumer Staples
1976-04,0.212,KO,Consumer Staples
1976-05,0.204,KO,Consumer Staples
1976-06,0.202,KO,Consumer Staples
1976-07,0.214,KO,Consumer Staples
1976-08,0.217,KO,Consumer Staples
1976-09,0.219,KO,Consumer Staples
1976-10,0.209,KO,Consumer Staples
1976-11,0.2,KO,Consumer Staples
1976-12,0.196,KO,Consumer Staples
1977-01,0.193,KO,Consumer Staples
1977-02,0.194,KO,Consumer Staples
1977-03,0.199,KO,Consumer Staples
1977-04,0.197,KO,Consumer Staples
1977-05,0.19,KO,Consumer Staples
1977-06,0.193,KO,Consumer Staples
1977-07,0.202,KO,Consumer Staples
1977-08,0.204,KO,Consumer Staples
1977-09,0.208,KO,Consumer Staples
1977-10,0.202,KO,Consumer Staples
1977-11,0.2,KO,Consumer Staples
1977-12,0.196,KO,Consumer Staples
1978-01,0.191,KO,Consumer Staples
1978-02,0.193,KO,Consumer Staples
1978-03,0.201,KO,Consumer Staples
1978-04,0.215,KO,Consumer Staples
1978-05,0.228,KO,Consumer Staples
1978-06,0.229,KO,Consumer Staples
1978-07,0.225,KO,Consumer Staples
1978-08,0.245,KO,Consumer Staples
1978-09,0.244,KO,Consumer Staples
1978-10,0.237,KO,Consumer Staples
1978-11,0.228,KO,Consumer Staples
1978-12,0.24,KO,Consumer Staples
1979-01,0.248,KO,Consumer Staples
1979-02,0.236,KO,Consumer Staples
1979-03,0.231,KO,Consumer Staples
1979-04,0.225,KO,Consumer Staples
1979-05,0.214,KO,Consumer Staples
1979-06,0.22,KO,Consumer Staples
1979-07,0.215,KO,Consumer Staples
1979-08,0.227,KO,Consumer Staples
1979-09,0.219,KO,Consumer Staples
1979-10,0.202,KO,Consumer Staples
1979-11,0.193,KO,Consumer Staples
1979-12,0.202,KO,Consumer Staples
1980-01,0.2,KO,Consumer Staples
1980-02,0.196,KO,Consumer Staples
1980-03,0.177,KO,Consumer Staples
1980-04,0.186,KO,Consumer Staples
1980-05,0.203,KO,Consumer Staples
1980-06,0.201,KO,Consumer Staples
1980-07,0.208,KO,Consumer Staples
1980-08,0.22,KO,Consumer Staples
1980-09,0.208,KO,Consumer Staples
1980-10,0.195,KO,Consumer Staples
1980-11,0.19,KO,Consumer Staples
1980-12,0.196,KO,Consumer Staples
1981-01,0.214,KO,Consumer Staples
1981-02,0.211,KO,Consumer Staples
1981-03,0.232,KO,Consumer Staples
1981-04,0.229,KO,Consumer Staples
1981-05,0.225,KO,Consumer Staples
1981-06,0.236,KO,Consumer Staples
1981-07,0.217,KO,Consumer Staples
1981-08,0.214,KO,Consumer Staples
1981-09,0.209,KO,Consumer Staples
1981-10,0.229,KO,Consumer Staples
1981-11,0.231,KO,Consumer Staples
1981-12,0.233,KO,Consumer Staples
1982-01,0.223,KO,Consumer Staples
1982-02,0.21,KO,Consumer Staples
1982-03,0.216,KO,Consumer Staples
1982-04,0.232,KO,Consumer Staples
1982-05,0.23,KO,Consumer Staples
1982-06,0.233,KO,Consumer Staples
1982-07,0.251,KO,Consumer Staples
1982-08,0.257,KO,Consumer Staples
1982-09,0.285,KO,Consumer Staples
1982-10,0.31,KO,Consumer Staples
1982-11,0.332,KO,Consumer Staples
1982-12,0.364,KO,Consumer Staples
1983-01,0.351,KO,Consumer Staples
1983-02,0.346,KO,Consumer Staples
1983-03,0.367,KO,Consumer Staples
1983-04,0.4,KO,Consumer Staples
1983-05,0.385,KO,Consumer Staples
1983-06,0.375,KO,Consumer Staples
1983-07,0.356,KO,Consumer Staples
1983-08,0.366,KO,Consumer Staples
1983-09,0.371,KO,Consumer Staples
1983-10,0.398,KO,Consumer Staples
1983-11,0.405,KO,Consumer Staples
1983-12,0.415,KO,Consumer Staples
1984-01,0.393,KO,Consumer Staples
1984-02,0.379,KO,Consumer Staples
1984-03,0.409,KO,Consumer Staples
1984-04,0.414,KO,Consumer Staples
1984-05,0.426,KO,Consumer Staples
1984-06,0.439,KO,Consumer Staples
1984-07,0.45,KO,Consumer Staples
1984-08,0.474,KO,Consumer Staples
1984-09,0.48,KO,Consumer Staples
1984-10,0.492,KO,Consumer Staples
1984-11,0.497,KO,Consumer Staples
1984-12,0.487,KO,Consumer Staples
1985-01,0.492,KO,Consumer Staples
1985-02,0.486,KO,Consumer Staples
1985-03,0.525,KO,Consumer Staples
1985-04,0.551,KO,Consumer Staples
1985-05,0.537,KO,Consumer Staples
1985-06,0.557,KO,Consumer Staples
1985-07,0.575,KO,Consumer Staples
1985-08,0.577,KO,Consumer Staples
1985-09,0.563,KO,Consumer Staples
1985-10,0.575,KO,Consumer Staples
1985-11,0.638,KO,Consumer Staples
1985-12,0.695,KO,Consumer Staples
1986-01,0.666,KO,Consumer Staples
1986-02,0.725,KO,Consumer Staples
1986-03,0.847,KO,Consumer Staples
1986-04,0.897,KO,Consumer Staples
1986-05,0.909,KO,Consumer Staples
1986-06,0.973,KO,Consumer Staples
1986-07,1.021,KO,Consumer Staples
1986-08,0.962,KO,Consumer Staples
1986-09,0.875,KO,Consumer Staples
1986-10,0.92,KO,Consumer Staples
1986-11,0.918,KO,Consumer Staples
1986-12,0.971,KO,Consumer Staples
1987-01,1.024,KO,Consumer Staples
1987-02,1.107,KO,Consumer Staples
1987-03,1.185,KO,Consumer Staples
1987-04,1.126,KO,Consumer Staples
1987-05,1.044,KO,Consumer Staples
1987-06,1.136,KO,Consumer Staples
1987-07,1.167,KO,Consumer Staples
1987-08,1.284,KO,Consumer Staples
1987-09,1.267,KO,Consumer Staples
1987-10,1.094,KO,Consumer Staples
1987-11,1.009,KO,Consumer Staples
1987-12,1.004,KO,Consumer Staples
1988-01,0.987,KO,Consumer Staples
1988-02,0.96,KO,Consumer Staples
1988-03,1.011,KO,Consumer Staples
1988-04,1.003,KO,Consumer Staples
1988-05,0.963,KO,Consumer Staples
1988-06,1.011,KO,Consumer Staples
1988-07,0.991,KO,Consumer Staples
1988-08,1.018,KO,Consumer Staples
1988-09,1.124,KO,Consumer Staples
1988-10,1.146,KO,Consumer Staples
1988-11,1.13,KO,Consumer Staples
1988-12,1.183,KO,Consumer Staples
1989-01,1.206,KO,Consumer Staples
1989-02,1.269,KO,Consumer Staples
1989-03,1.345,KO,Consumer Staples
1989-04,1.423,KO,Consumer Staples
1989-05,1.522,KO,Consumer Staples
1989-06,1.554,KO,Consumer Staples
1989-07,1.637,KO,Consumer Staples
1989-08,1.804,KO,Consumer Staples
1989-09,1.741,KO,Consumer Staples
1989-10,1.907,KO,Consumer Staples
1989-11,2.04,KO,Consumer Staples
1989-12,2.129,KO,Consumer Staples
1990-01,1.994,KO,Consumer Staples
1990-02,1.883,KO,Consumer Staples
1990-03,2.007,KO,Consumer Staples
1990-04,2.146,KO,Consumer Staples
1990-05,2.312,KO,Consumer Staples
1990-06,2.464,KO,Consumer Staples
1990-07,2.52,KO,Consumer Staples
1990-08,2.351,KO,Consumer Staples
1990-09,2.252,KO,Consumer Staples
1990-10,2.385,KO,Consumer Staples
1990-11,2.521,KO,Consumer Staples
1990-12,2.648,KO,Consumer Staples
1991-01,2.58,KO,Consumer Staples
1991-02,2.873,KO,Consumer Staples
1991-03,2.979,KO,Consumer Staples
1991-04,3.032,KO,Consumer Staples
1991-05,3.101,KO,Consumer Staples
1991-06,3.11,KO,Consumer Staples
1991-07,3.244,KO,Consumer Staples
1991-08,3.59,KO,Consumer Staples
1991-09,3.648,KO,Consumer Staples
1991-10,3.616,KO,Consumer Staples
1991-11,3.804,KO,Consumer Staples
1991-12,4.25,KO,Consumer Staples
1992-01,4.373,KO,Consumer Staples
1992-02,4.472,KO,Consumer Staples
1992-03,4.625,KO,Consumer Staples
1992-04,4.653,KO,Consumer Staples
1992-05,4.919,KO,Consumer Staples
1992-06,4.755,KO,Consumer Staples
1992-07,4.735,KO,Consumer Staples
1992-08,4.908,KO,Consumer Staples
1992-09,4.942,KO,Consumer Staples
1992-10,4.536,KO,Consumer Staples
1992-11,4.681,KO,Consumer Staples
1992-12,4.752,KO,Consumer Staples
1993-01,4.793,KO,Consumer Staples
1993-02,4.764,KO,Consumer Staples
1993-03,4.912,KO,Consumer Staples
1993-04,4.574,KO,Consumer Staples
1993-05,4.646,KO,Consumer Staples
1993-06,4.832,KO,Consumer Staples
1993-07,5.065,KO,Consumer Staples
1993-08,4.994,KO,Consumer Staples
1993-09,5.008,KO,Consumer Staples
1993-10,4.97,KO,Consumer Staples
1993-11,4.87,KO,Consumer Staples
1993-12,5.092,KO,Consumer Staples
1994-01,4.917,KO,Consumer Staples
1994-02,4.843,KO,Consumer Staples
1994-03,4.87,KO,Consumer Staples
1994-04,4.739,KO,Consumer Staples
1994-05,4.754,KO,Consumer Staples
1994-06,4.796,KO,Consumer Staples
1994-07,5.006,KO,Consumer Staples
1994-08,5.338,KO,Consumer Staples
1994-09,5.635,KO,Consumer Staples
1994-10,5.907,KO,Consumer Staples
1994-11,6.079,KO,Consumer Staples
1994-12,6.097,KO,Consumer Staples
1995-01,6.032,KO,Consumer Staples
1995-02,6.344,KO,Consumer Staples
1995-03,6.779,KO,Consumer Staples
1995-04,6.937,KO,Consumer Staples
1995-05,7.076,KO,Consumer Staples
1995-06,7.462,KO,Consumer Staples
1995-07,7.763,KO,Consumer Staples
1995-08,7.785,KO,Consumer Staples
1995-09,8.036,KO,Consumer Staples
1995-10,8.586,KO,Consumer Staples
1995-11,8.868,KO,Consumer Staples
1995-12,9.252,KO,Consumer Staples
1996-01,8.941,KO,Consumer Staples
1996-02,9.646,KO,Consumer Staples
1996-03,10.007,KO,Consumer Staples
1996-04,9.834,KO,Consumer Staples
1996-05,10.656,KO,Consumer Staples
1996-06,11.433,KO,Consumer Staples
1996-07,11.441,KO,Consumer Staples
1996-08,12.213,KO,Consumer Staples
1996-09,12.52,KO,Consumer Staples
1996-10,12.09,KO,Consumer Staples
1996-11,12.545,KO,Consumer Staples
1996-12,12.312,KO,Consumer Staples
1997-01,13.649,KO,Consumer Staples
1997-02,14.729,KO,Consumer Staples
1997-03,14.582,KO,Consumer Staples
1997-04,14.253,KO,Consumer Staples
1997-05,16.269,KO,Consumer Staples
1997-06,16.997,KO,Consumer Staples
1997-07,17.077,KO,Consumer Staples
1997-08,15.17,KO,Consumer Staples
1997-09,14.567,KO,Consumer Staples
1997-10,14.633,KO,Consumer Staples
1997-11,14.632,KO,Consumer Staples
1997-12,16.026,KO,Consumer Staples
1998-01,16.005,KO,Consumer Staples
1998-02,16.791,KO,Consumer Staples
1998-03,18.035,KO,Consumer Staples
1998-04,18.883,KO,Consumer Staples
1998-05,19.096,KO,Consumer Staples
1998-06,20.132,KO,Consumer Staples
1998-07,21.019,KO,Consumer Staples
1998-08,19.338,KO,Consumer Staples
1998-09,15.012,KO,Consumer Staples
1998-10,16.213,KO,Consumer Staples
1998-11,17.771,KO,Consumer Staples
1998-12,16.681,KO,Consumer Staples
1999-01,16.16,KO,Consumer Staples
1999-02,15.822,KO,Consumer Staples
1999-03,16.193,KO,Consumer Staples
1999-04,15.998,KO,Consumer Staples
1999-05,16.85,KO,Consumer Staples
1999-06,16.12,KO,Consumer Staples
1999-07,15.694,KO,Consumer Staples
1999-08,14.936,KO,Consumer Staples
1999-09,13.44,KO,Consumer Staples
1999-10,13.179,KO,Consumer Staples
1999-11,15.194,KO,Consumer Staples
1999-12,15.308,KO,Consumer Staples
2000-01,15.293,KO,Consumer Staples
2000-02,13.475,KO,Consumer Staples
2000-03,11.92,KO,Consumer Staples
2000-04,12.136,KO,Consumer Staples
2000-05,12.693,KO,Consumer Staples
2000-06,13.818,KO,Consumer Staples
2000-07,14.874,KO,Consumer Staples
2000-08,15.059,KO,Consumer Staples
2000-09,13.494,KO,Consumer Staples
2000-10,14.622,KO,Consumer Staples
2000-11,15.277,KO,Consumer Staples
2000-12,15.022,KO,Consumer Staples
2001-01,14.678,KO,Consumer Staples
2001-02,14.539,KO,Consumer Staples
2001-03,12.265,KO,Consumer Staples
2001-04,11.688,KO,Consumer Staples
2001-05,12.051,KO,Consumer Staples
2001-06,11.535,KO,Consumer Staples
2001-07,11.613,KO,Consumer Staples
2001-08,11.995,KO,Consumer Staples
2001-09,12.537,KO,Consumer Staples
